251979136,"<p><span style=""color: #373737; line-height: 30.4761924743652px; background-color: #FFFFFF;"">求<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/37d3d539b6003af3a9542a71332ac65c1038b631.jpg"" data-latex=""7""/>吨比<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/b21c8701a18b87d62b419d0d010828381f30fda4.jpg"" data-latex=""8""/>吨少百分之几?</span></p>",,NULL,NULL,"<p><span style=""color: #373737; font-size: 16px; line-height: 29.0909080505371px; background-color: #FFFFFF;"">求7吨比8吨少百分之几?</span></p>"
255859041,"<p>想出三个数，填在下面的□里，使它们相加的和跟它们相乘的积相等。</p><p>□+□+□<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/ac6eddc451da81cb50f3dcdc5466d0160924318d.jpg"" data-latex=""=""/>□<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/e850352ac65c1038a2c591d3b4119313b07e896c.jpg"" data-latex=""\times ""/>□<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/e850352ac65c1038a2c591d3b4119313b07e896c.jpg"" data-latex=""\times ""/>□</p><p><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/472309f7905298226a7f2c41d1ca7bcb0b46d4e7.jpg"" data-latex=""\left ( {等式两边分别按数字从小到大的顺序填写} \right )""/></p>",,NULL,NULL,"<p>想出三个数，填在下面的□里，使它们相加的和跟它们相乘的积相等。</p><p>□+□+□$=$□$\times $□$\times $□</p><p>$\left ( {等式两边分别按数字从小到大的顺序填写} \right )$</p>"
255876583,"<p>如果<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/6c224f4a20a44623bec6eef59e22720e0cf3d71d.jpg"" data-latex=""9x=8y""/>，那么<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/42a98226cffc1e17f740c7a64c90f603728de9ae.jpg"" data-latex=""x：y=（）:（）""/>。</p>",,NULL,NULL,<p>如果$9x=8y$，那么$x：y=（）:（）$。</p>
255877023,"<p><span style=""color: #373737; background-color: #FFFFFF;"">围绕圆的<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/d439b6003af33a87f0820b04c05c10385243b5c4.jpg"" data-latex=""\left ( {\placeholder } \right )""/>的长叫圆的周长</span></p>",,NULL,NULL,"<p><span style=""color: #373737; background-color: #FFFFFF;"">围绕圆的$\left ( {\placeholder } \right )$的长叫圆的周长</span></p>"
255888904,"<p>在括号里填上适当的数。</p><p><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/f9198618367adab4bf433dc38dd4b31c8601e49b.jpg"" data-latex=""\dfrac {8} {24}=\dfrac {（）} {12}=\dfrac {（）} {3}""/></p>",,NULL,NULL,"<p>在括号里填上适当的数。</p><p>$\dfrac {8} {24}=\dfrac {（）} {12}=\dfrac {（）} {3}$</p>"
256027034,"<p>在括号里填上适当的数<br/></p><p><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/f11f3a292df5e0fe8eaec7915a6034a85fdf72ef.jpg"" data-latex=""0.35""/>小时<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/6159252dd42a2834e67c789b5db5c9ea14cebf4c.jpg"" data-latex=""=\left ( {\placeholder } \right )""/>分</p><p><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/6d81800a19d8bc3ecc361965848ba61ea8d34566.jpg"" data-latex=""1.4""/>小时<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/d000baa1cd11728b1320d533cefcc3cec3fd2c95.jpg"" data-latex=""=""/><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/d439b6003af33a87f0820b04c05c10385243b5c4.jpg"" data-latex=""\left ( {\placeholder } \right )""/>小时<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/d439b6003af33a87f0820b04c05c10385243b5c4.jpg"" data-latex=""\left ( {\placeholder } \right )""/>分</p><p><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/30adcbef76094b3677acbafca5cc7cd98d109de1.jpg"" data-latex=""2""/>米<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/503d269759ee3d6d005d6bae45166d224f4ade38.jpg"" data-latex=""3""/>厘米<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/d000baa1cd11728b1320d533cefcc3cec3fd2c95.jpg"" data-latex=""=""/><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/d439b6003af33a87f0820b04c05c10385243b5c4.jpg"" data-latex=""\left ( {\placeholder } \right )""/>米</p><p><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/9825bc315c6034a8322ca72ecd13495408237656.jpg"" data-latex=""45""/>平方厘米<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/d000baa1cd11728b1320d533cefcc3cec3fd2c95.jpg"" data-latex=""=""/><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/d439b6003af33a87f0820b04c05c10385243b5c4.jpg"" data-latex=""\left ( {\placeholder } \right )""/>平方分米</p>",,NULL,NULL,"<p>在括号里填上适当的数<br/></p><p>$0.35$小时$=\left ( {\placeholder } \right )$分</p><p>$1.4$小时$=$$\left ( {\placeholder } \right )$小时$\left ( {\placeholder } \right )$分</p><p>$2$米$3$厘米$=$$\left ( {\placeholder } \right )$米</p><p>$45$平方厘米$=$$\left ( {\placeholder } \right )$平方分米</p>"
256055925,"<p><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/58ee3d6d55fbb2fb5edd7e83494a20a44723dca8.jpg"" data-latex=""37850""/>万元改写成用“亿元”作单位的数是（），再精确到百分位约是（）。</p>",,NULL,NULL,<p>$37850$万元改写成用“亿元”作单位的数是（），再精确到百分位约是（）。</p>
256208402,"<p>一个水池容纳<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/b21c8701a18b87d68364f50e010828381f30fdf9.jpg"" data-latex=""200""/>立方米的水，这个水池的（ ）是<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/b21c8701a18b87d68364f50e010828381f30fdf9.jpg"" data-latex=""200""/>立方米。</p><p><img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/9f510fb30f2442a7e4b86d37d743ad4bd01302e9.jpg"" data-latex=""A.\, ""/>表面积 &nbsp; <img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/d53f8794a4c27d1ef434a8561dd5ad6eddc43815.jpg"" data-latex=""B.\, ""/>容积 &nbsp; <img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/b3119313b07eca80a521ad75972397dda1448378.jpg"" data-latex=""C.\, ""/>体积 &nbsp; &nbsp;<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/a1ec08fa513d26973b85f7f253fbb2fb4216d8cf.jpg"" data-latex=""D.\, ""/>棱长</p>",,NULL,NULL,"<p>一个水池容纳$200$立方米的水，这个水池的（ ）是$200$立方米。</p><p>$A.\, $表面积 &nbsp; $B.\, $容积 &nbsp; $C.\, $体积 &nbsp; &nbsp;$D.\, $棱长</p>"
256239309,<p>判断题：</p><p>最小的质数是自然数中全部偶数的最大公约数。</p>,,NULL,NULL,<p>判断题：</p><p>最小的质数是自然数中全部偶数的最大公约数。</p>
256438254,"<p>在下面的（ &nbsp;）里填上<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/6a600c338744ebf8cdb63f2edff9d72a6159a7d8.jpg"" data-latex=""&gt;""/>、<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/77c6a7efce1b9d16eee9da70f5deb48f8c5464f0.jpg"" data-latex=""&lt;""/>或<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/0b55b319ebc4b745ce96e807c9fc1e178a8215a4.jpg"" data-latex=""=""/>。<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/8cb1cb1349540923efbc3fe99458d109b2de494b.jpg"" data-latex=""30-0""/>（ &nbsp;）<img class=""kfformula"" src=""http://hiphotos.baidu.com/zhidao/pic/item/0ff41bd5ad6eddc40a3bf7ea3fdbb6fd536633c6.jpg"" data-latex=""30""/></p>",,NULL,NULL,"<p>在下面的（ &nbsp;）里填上$&gt;$、$&lt;$或$=$。$30-0$（ &nbsp;）$30$</p>"
